;Website;General rating;Title;Company;Company_type;Company_sector;Country;City;Summary;Date;Job_id;Job_url
150;indeed;1;Data Scientist;SPARAGUS;Small-sized Enterprise (11-50 employees);Contract Recruitment, Permanent and Temp to Permanent Contract, Onsite Recruitment;BELGIUM;Brussel;To elaborate and train AI models and share this expertise with the client by coaching junior data scientists within the team.;30 day ago;cdcec3bc9bf024f3;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=20&lang=en&vjk=cdcec3bc9bf024f3
151;indeed;1;Data Protection Analyst;EUROCLEAR;Large Enterprise (+5000 employees);Financial services, Asset servicing, Collateral Management, Issuer services, Settlement, Fund services, Triparty repo, Capital Markets, Market infrastructures, Innovation, Blockchain, Securities, T2S, Target2 Securities, Connectivity, Automation, Reference Data, Liquidity Data, ETFs, FMI;BELGIUM;Brussel;Knowledge of Data Protection controls such as encryption (DAR, DIM, DIU), data hashing, data signing, data anonymisation, DRM, DLP, CASB, data access governance…;26 day ago;e8104ec02f8b070a;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=20&lang=en&vjk=e8104ec02f8b070a
152;indeed;1;Data Analyst;ING;Large Enterprise (+5000 employees);Banking, Personal Banking, Wholesale Banking, FinTech, Retail Banking, Online Banking, Private banking, Mobile banking, Mobile payments, Innovation, agile, blockchain, Sustainability;BELGIUM;Brussel;Management of databases, data collection systems, data analytics and other strategies that optimize data quality.;21 day ago;95fa685c5bbc25ed;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=20&lang=en&vjk=95fa685c5bbc25ed
153;indeed;1;Data Analyst/Statistician;INTRASOFT INTERNATIONAL;Large Enterprise (+5000 employees);Information Technology, Public Sector Solutions, Information & Communication Services, Telcos & Enterprises Solutions, SAP Consulting, Healthcare, Transport & Education Solutions, Banking Solutions, Application Development, Outsourcing Services, Systems Integration;BELGIUM;Brussel;Managed structured and unstructured data sets (incl. data acquisition, data cleaning and management). Excellent affinity with data science domain.;30 day ago;612f8a2fe5bd9dfd;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=20&lang=en&vjk=612f8a2fe5bd9dfd
154;indeed;1;Data Quality Analyst F/H;KLANIK;Large Enterprise (+5000 employees);Conseil en ingénierie, IT, Informatique;BELGIUM;Brussel;The objective of the Data Department is to modernise our client’s data repositories, data governance, data management and data usage.;30 day ago;ece655237f0ce24c;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=20&lang=en&vjk=ece655237f0ce24c
155;indeed;1;Data Analyst - Virtual Assistants;ING;Large Enterprise (+5000 employees);Banking, Personal Banking, Wholesale Banking, FinTech, Retail Banking, Online Banking, Private banking, Mobile banking, Mobile payments, Innovation, agile, blockchain, Sustainability;BELGIUM;Brussel;Management of databases, data collection systems, data analytics and other strategies to optimize data quality.;30 day ago;e908022af20f383b;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=10&lang=en&vjk=e908022af20f383b
156;indeed;1;DATA SCIENTIST;CREAM;Startup (1-10 employees);Unknown;BELGIUM;Bruxelles Ixelles;You provide data-driven recommendations to the client. As Louise, Data Scientist, you will have a key role in the implementation of innovative data models to…;30 day ago;685338ae05932206;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=0&lang=en&vjk=685338ae05932206
157;indeed;1;Data Scientist (Machine Learning);INSTAON;Startup (1-10 employees);Google Ads, Bing Ads, PPC Optimization, SMB's Marketing, Digital Marketing, Facebook Ads;BELGIUM;Brussel;Work closely with the founders to boost the company to the next level. You have a Bachelor Degree, Master Degree or equivalent in Machine Learning, Applied…;30 day ago;95452641515a635f;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=0&lang=en&vjk=95452641515a635f
158;indeed;1;Visser & Van Baars - Data Scientist / Analyst;VISSER & VAN BAARS;Unknown;Unknown;BELGIUM;Brussel;"Strong in data wrangling and creating datasets; You have an extensive experience in data analysis; Optimize and personalize the customer experience based on…";4 day ago;6a7a88b2156dff8c;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=0&lang=en&advn=9004820617991727&vjk=6a7a88b2156dff8c
159;indeed;1;NLP Data Scientist;SORTLIST;Unknown;Unknown;BELGIUM;Brussel;"Digging into data lakes or data warehouses. Familiarity with programming for data analysis; ideally Python, SQL. 2000€ yearly training budget.";8 day ago;c8434f32c3b8b98e;https://be.indeed.com/jobs?q=Data%20Scientist&l=Brussels&radius=10&start=0&lang=en&vjk=c8434f32c3b8b98e
